scenario_time,value,rolling_avg
126.998524,0.464164,22.202577354444447
127.031193,0.130253,22.201583804444446
127.064925,1.688627,22.202440677777776
127.097796,1.959088,22.204090417777778
127.131212,1.53398,22.204591067777777
127.164299,1.120964,22.20512760888889
127.197954,0.747631,22.205384205555553
127.231094,0.520585,22.204560960000002
127.264597,1.435093,22.205930835555556
127.297079,1.016094,22.20608120111111
127.331217,0.656833,22.205762014444446
127.364705,1.539764,22.207047163333336
127.398178,1.300163,22.207393728888892
127.431258,1.730214,22.208401524444444
127.464438,1.250105,22.20893884111111
127.497847,0.772374,22.209044045555558
127.531187,0.327901,22.20839810111111
127.564377,0.329172,22.207737779999995
127.59806,1.253268,22.208614309999998
127.631151,1.759208,22.209333716666663
127.664793,1.364892,22.210117683333333
127.697796,1.073302,22.210869363333334
127.731324,1.66097,22.211066220000003
127.764947,1.136627,22.21176179777778
127.797951,0.607917,22.21191994111111
127.83151,0.078266,22.210424349999997
127.864406,0.465,22.21035746333333
127.898025,1.897824,22.211812568888888
127.931161,1.428781,22.21178069444445
127.964802,1.037599,22.21219237888889
127.997437,0.850169,22.211709465555554
128.030965,1.24918,22.2122153
128.06469,0.685059,22.212012481111113
128.098066,0.134365,22.210805175555553
128.131343,1.757966,22.212088665555555
128.16463,1.824125,22.212896964444443
128.198055,1.319868,22.212973393333332
128.231075,0.916073,22.21345215777778
128.264537,0.79758,22.212840557777778
128.297887,1.061563,22.212487598888888
128.331077,0.464785,22.212414765555554
128.364759,0.19714,22.212175013333333
128.397747,2.061049,22.21269147
128.431213,1.505189,22.213537046666666
128.464772,1.023303,22.21456051888889
128.49804,0.782005,22.213331201111114
128.531137,1.191526,22.213477507777778
128.564733,0.556187,22.213792378888886
128.597872,0.142422,22.213256772222223
128.631131,2.091133,22.213978972222225
128.664545,1.509212,22.21490553444444
128.697623,1.018954,22.215613292222223
128.730941,0.821676,22.215275816666665
128.764482,1.068352,22.215213136666662
128.797758,0.393369,22.215071386666665
128.83111,0.296248,22.213971044444442
128.864516,1.908125,22.21429028111111
128.89793,1.335024,22.21472079
128.936123,0.939179,22.215104437777782
128.963856,1.397181,22.215516821111112
128.996201,0.688493,22.21464438222222
129.026923,0.043624,22.213699488888892
129.062592,1.341338,22.213602674444445
129.098001,1.547491,22.214384381111113
129.131479,1.091406,22.214019538888888
129.164652,1.537537,22.21470484111111
129.197995,0.801736,22.21413955888889
129.230895,0.148697,22.21348967222222
129.264867,1.306053,22.2133403
129.296732,1.625614,22.214049855555555
129.330515,1.188773,22.213944982222227
129.364268,1.490295,22.214826353333333
129.39805,0.741165,22.213958912222225
129.431109,0.285333,22.21307971222222
129.464468,1.096626,22.21280001444444
129.497859,1.588835,22.213734263333333
129.530874,1.261861,22.21463884111111
129.564732,1.266267,22.214716834444445
129.59769,0.566197,22.213672264444444
129.631269,0.59454,22.213333331111116
129.664375,0.707799,22.213628290000003
129.697742,1.511384,22.213791569999998
129.73112,1.660217,22.213686176666666
129.764369,0.917847,22.213425176666668
129.797521,0.579597,22.21338985888889
129.831048,0.887388,22.213883798888887
129.864779,0.263387,22.212859414444445
129.897688,1.55743,22.212922136666666
129.931022,1.166704,22.213175275555557
129.964168,0.729754,22.213439371111114
129.996673,0.983919,22.21017341
130.02967,0.135847,22.20207072888889
130.06254,1.723205,22.191828694444443
130.097477,21.574924,22.199734735555555
130.130944,44.824333,22.229558295555556
130.16427,68.07627,22.28129662111111
130.197928,91.329798,22.354946022222222
130.231244,114.584752,22.450502693333334
130.264348,137.841089,22.567962831111114
130.297917,161.098802,22.707322666666666
130.331149,184.357891,22.868578468888888
130.364326,197.845622,23.040867945555554
130.397766,198.059968,23.209437697777776
130.431105,199.545854,23.375695386666667
130.4644,199.931237,23.538413100000003
130.497931,201.564713,23.69897251
130.531149,201.876226,23.855899700000002
130.564297,203.890034,24.011081072222222
