joystick_x,joystick_y,center_deviation,cursor_in_target,a_in_tolerance,a_deviation,b_in_tolerance,b_deviation,pump_1_flow,pump_2_flow,pump_3_flow,pump_4_flow,pump_5_flow,pump_6_flow,pump_7_flow,pump_8_flow,scale1,scale2,scale3,scale4,event_occured,reacted,signal_detection_HIT,signal_detection_NONE,signal_detection_MISS
-0.75,-0.75,12.730242,1,1,-130,1,-130,0,0,0,0,0,0,0,0,5,6,6,6,0,0,0,1,0
-0.75,-0.75,12.889077,1,1,-131,1,-131,0,0,0,0,0,0,0,0,4,7,7,7,0,0,0,1,0
-0.75,-0.75,13.052573,1,1,-132,1,-132,0,0,0,0,0,0,0,0,3,6,6,6,0,0,0,1,0
-0.75,-0.75,13.220746,1,1,-133,1,-133,0,0,0,0,0,0,0,0,4,5,7,7,0,0,0,1,0
-0.75,-0.75,13.393614,1,1,-134,1,-134,0,0,0,0,0,0,0,0,3,4,6,6,0,0,0,1,0
-0.75,-0.75,13.571193,1,1,-135,1,-135,0,0,0,0,0,0,0,0,4,3,5,5,0,0,0,1,0
-0.75,-0.75,13.753499,1,1,-136,1,-136,0,0,0,0,0,0,0,0,3,4,4,6,0,0,0,1,0
-0.75,-0.75,13.940552,1,1,-137,1,-137,0,0,0,0,0,0,0,0,4,5,3,7,0,0,0,1,0
-0.75,-0.75,14.132369,1,1,-138,1,-138,0,0,0,0,0,0,0,0,5,4,4,6,0,0,0,1,0
-0.75,-0.75,14.328967,1,1,-139,1,-139,0,0,0,0,0,0,0,0,6,3,3,7,0,0,0,1,0
-0.75,-0.75,14.530367,1,1,-140,1,-140,0,0,0,0,0,0,0,0,7,4,4,6,0,0,0,1,0
-0.75,-0.75,14.736587,1,1,-141,1,-141,0,0,0,0,0,0,0,0,6,5,5,5,0,0,0,1,0
-0.75,-0.75,14.947646,1,1,-142,1,-142,0,0,0,0,0,0,0,0,7,6,6,4,0,0,0,1,0
0.25,-0.25,15.163564,1,1,-143,1,-143,0,0,0,0,0,0,0,0,6,5,7,3,0,0,0,1,0
0.25,-0.25,14.337318,1,1,-144,1,-144,0,0,0,0,0,0,0,0,7,4,6,4,0,0,0,1,0
0.25,-0.25,13.526132,1,1,-145,1,-145,0,0,0,0,0,0,0,0,6,5,5,5,0,0,0,1,0
0.25,-0.25,12.732052,1,1,-146,1,-146,0,0,0,0,0,0,0,0,7,4,6,6,0,0,0,1,0
0.25,-0.25,11.957602,1,1,-147,1,-147,0,0,0,0,0,0,0,0,6,3,7,7,0,0,0,1,0
0.25,-0.25,11.205908,1,1,-148,1,-148,0,0,0,0,0,0,0,0,5,4,6,6,0,0,0,1,0
0.25,-0.25,10.480855,1,1,-149,1,-149,0,0,0,0,0,0,0,0,6,3,5,5,0,0,0,1,0
0.25,-0.25,9.787284,1,1,-150,1,-150,0,0,0,0,0,0,0,0,5,4,4,6,0,0,0,1,0
0.25,-0.25,9.131211,1,1,-151,1,-151,0,0,0,0,0,0,0,0,4,5,5,7,0,0,0,1,0
0.25,-0.25,8.520059,1,1,-152,1,-152,0,0,0,0,0,0,0,0,3,4,6,6,0,0,0,1,0
0.25,-0.25,7.962849,1,1,-153,1,-153,0,0,0,0,0,0,0,0,4,3,5,7,0,0,0,1,0
