joystick_x,joystick_y,center_deviation,cursor_in_target,a_in_tolerance,a_deviation,b_in_tolerance,b_deviation,pump_1_flow,pump_2_flow,pump_3_flow,pump_4_flow,pump_5_flow,pump_6_flow,pump_7_flow,pump_8_flow,scale1,scale2,scale3,scale4,event_occured,reacted,signal_detection_0,signal_detection_FA,signal_detection_HIT,signal_detection_MISS
0.75,7.75,36.344804,1,1,-111,1,-88,0,0,0,1,0,0,0,0,10,7,7,3,1,0,1,0,0,0
-0.25,8.5,44.883265,1,1,-112,1,-88,0,0,0,1,0,0,0,0,9,6,6,4,1,0,1,0,0,0
-1.5,9.25,54.115956,0,1,-113,1,-88,0,0,0,1,0,0,0,0,8,7,7,5,1,0,1,0,0,0
-2.0,9.25,64.036563,0,1,-114,1,-88,0,0,0,1,0,0,0,0,9,6,6,6,1,0,1,0,0,0
-5.5,4.5,73.968616,0,1,-115,1,-88,0,0,0,1,0,0,0,0,8,5,5,7,1,0,1,0,0,0
-7.0,2.75,79.271049,0,1,-116,1,-88,0,0,0,1,0,0,0,0,9,4,6,6,1,0,1,0,0,0
-7.5,2.25,83.267258,0,1,-117,1,-88,0,0,0,1,0,0,0,0,10,5,5,5,1,0,1,0,0,0
-7.5,2.0,87.281566,0,1,-118,1,-88,0,0,0,1,0,0,0,0,9,6,6,6,1,0,1,0,0,0
-7.5,2.0,91.484533,0,1,-119,1,-88,0,0,0,1,0,0,0,0,10,7,5,7,1,0,1,0,0,0
-7.5,2.0,96.0671,0,1,-120,1,-88,0,0,0,1,0,0,0,0,9,6,4,6,1,0,1,0,0,0
