joystick_x,joystick_y,center_deviation,cursor_in_target,a_in_tolerance,a_deviation,b_in_tolerance,b_deviation,"pump_1_flow, 1","pump_2_flow, 2","pump_3_flow, 3","pump_4_flow, 4","pump_5_flow, 5","pump_6_flow, 6","pump_7_flow, 7","pump_8_flow, 8",scale1,scale2,scale3,scale4,event_occured,response_time
0.25,-0.75,12.646313,1,1,-27,1,-29,0,1,0,1,0,0,0,0,7,5,5,5,0,0
0.25,-0.75,13.540136,1,1,-27,1,-29,0,1,0,1,0,0,0,0,6,4,4,4,0,0
0.25,-0.75,14.432974,1,1,-27,1,-29,0,1,0,1,0,0,0,0,7,3,3,5,0,0
0.25,-0.75,15.324627,1,1,-27,1,-29,0,1,0,1,0,0,0,0,6,4,4,4,0,0
-0.5,-0.75,16.214942,1,1,-27,1,-29,0,1,0,1,0,0,0,0,7,3,3,3,0,0
-0.5,-0.75,16.357396,1,1,-27,1,-29,0,1,0,1,0,0,0,0,6,4,4,4,0,0
-0.5,-0.75,16.497522,1,1,-27,1,-29,0,1,0,1,0,0,0,0,5,3,3,3,0,0
-0.5,-0.75,16.635332,1,1,-27,1,-29,0,1,0,1,0,0,0,0,4,4,4,4,0,0
-0.5,-0.75,16.77084,1,1,-27,1,-29,0,1,0,1,0,0,0,0,5,5,5,5,0,0
-0.5,-0.75,16.904062,1,1,-27,1,-29,0,1,0,1,0,0,0,0,6,6,4,4,0,0
-0.5,-0.75,17.035014,1,1,-27,1,-29,0,1,0,1,0,0,0,0,5,7,3,5,0,0
-0.5,-0.75,17.163715,1,1,-27,1,-29,0,1,0,1,0,0,0,0,6,6,4,4,0,0
-0.5,-0.75,17.290187,1,1,-27,1,-29,0,1,0,1,0,0,0,0,7,5,5,3,0,0
-0.5,-0.75,17.414451,1,1,-27,1,-29,0,1,0,1,0,0,0,0,6,6,4,4,0,0
-0.5,-0.75,17.536533,1,1,-27,1,-29,0,1,0,1,0,0,0,0,5,7,3,5,0,0
-0.5,-0.75,17.656457,1,1,-27,1,-29,0,1,0,1,0,0,0,0,4,6,4,4,0,0
-0.5,-0.75,17.774254,1,1,-27,1,-29,0,1,0,1,0,0,0,0,3,7,5,5,0,0
-0.5,-0.75,17.889953,1,1,-27,1,-29,0,1,0,1,0,0,0,0,4,6,6,4,0,0
-0.5,-0.75,18.003586,1,1,-27,1,-29,0,1,0,1,0,0,0,0,3,7,7,3,0,0
-0.5,-0.75,18.115187,1,1,-27,1,-29,0,1,0,1,0,0,0,0,4,6,6,4,0,0
-2.5,-0.75,18.224794,1,1,-27,1,-29,0,1,0,1,0,0,0,0,3,7,7,5,0,0
-2.5,-0.75,16.333265,1,1,-27,1,-29,0,1,0,1,0,0,0,0,4,6,6,6,0,0
